,index,age,sports,fashion,food,pet,Top Likes,age_group,Total Likes,Segment
2183,owallace,62,0.0,0.0,11.0,97.0,pet,Senior,108.0,0
2184,sandra50,47,72.0,0.0,78.0,76.0,food,Adult,226.0,3
2185,mcdonaldchristopher,43,23.0,22.0,118.0,48.0,food,Adult,211.0,3
2186,charlesgibbs,18,0.0,67.0,0.0,66.0,fashion,Teenager,133.0,5
2187,dominicfisher,38,0.0,21.0,20.0,20.0,age,Adult,61.0,1
2188,walkerthomas,25,99.0,15.0,15.0,16.0,sports,Young Adult,145.0,2
2189,mjoseph,23,39.0,40.0,39.0,39.0,fashion,Young Adult,157.0,5
2190,watsonbrenda,17,4.0,4.0,4.0,22.0,pet,Teenager,34.0,1
2191,nelsonmitchell,25,0.0,35.0,10.0,12.0,fashion,Young Adult,57.0,1
2192,riggsdanny,16,20.0,20.0,20.0,18.0,sports,Teenager,78.0,1
2193,johnsonlaurie,25,0.0,39.0,45.0,133.0,pet,Young Adult,217.0,0
2194,scott42,39,10.0,2.0,1.0,1.0,age,Adult,14.0,1
2195,robertnelson,21,60.0,25.0,12.0,12.0,sports,Young Adult,109.0,5
2196,courtneylove,48,54.0,55.0,54.0,55.0,fashion,Adult,218.0,5
2197,campbelltimothy,23,0.0,34.0,18.0,34.0,fashion,Young Adult,86.0,5
2198,steven70,34,49.0,49.0,50.0,49.0,food,Adult,197.0,5
2199,jenniferbrown,49,12.0,12.0,12.0,12.0,age,Adult,48.0,1
2200,brianschultz,14,21.0,24.0,0.0,24.0,fashion,Teenager,69.0,1
2201,juan93,28,0.0,8.0,8.0,8.0,age,Adult,24.0,1
2202,jacksonchristina,35,6.0,0.0,6.0,8.0,age,Adult,20.0,1
2203,nina24,23,18.0,20.0,0.0,19.0,age,Young Adult,57.0,1
2204,gholder,23,6.0,15.0,3.0,3.0,age,Young Adult,27.0,1
2205,johnnyfranklin,31,0.0,16.0,16.0,50.0,pet,Adult,82.0,5
2206,james67,59,9.0,0.0,2.0,3.0,age,Adult,14.0,1
2207,lhernandez,16,38.0,36.0,33.0,33.0,sports,Teenager,140.0,5
2208,torreslauren,27,0.0,12.0,28.0,27.0,food,Adult,67.0,1
2209,denisesmith,39,7.0,49.0,7.0,6.0,fashion,Adult,69.0,1
2210,eric85,36,120.0,16.0,17.0,18.0,sports,Adult,171.0,2
2211,carlafigueroa,36,0.0,91.0,0.0,92.0,pet,Adult,183.0,4
2212,davidmarshall,37,15.0,102.0,16.0,15.0,fashion,Adult,148.0,4
2213,kimbrennan,27,22.0,116.0,47.0,24.0,fashion,Adult,209.0,4
2214,amyperez,16,4.0,3.0,22.0,8.0,food,Teenager,37.0,1
2215,richrobin,26,144.0,0.0,0.0,17.0,sports,Adult,161.0,2
2216,justin66,35,7.0,0.0,12.0,10.0,age,Adult,29.0,1
2217,tgolden,34,19.0,126.0,19.0,18.0,fashion,Adult,182.0,4
2218,baileynguyen,14,10.0,66.0,10.0,9.0,fashion,Teenager,95.0,5
2219,dianesharp,21,16.0,120.0,16.0,16.0,fashion,Young Adult,168.0,4
2220,charles97,26,6.0,6.0,5.0,38.0,pet,Adult,55.0,1
2221,lramsey,31,3.0,4.0,0.0,2.0,age,Adult,9.0,1
2222,chavezamber,38,0.0,103.0,102.0,51.0,fashion,Adult,256.0,4
2223,williamhansen,40,22.0,22.0,24.0,22.0,age,Adult,90.0,5
2224,tylermayer,18,28.0,28.0,51.0,138.0,pet,Teenager,245.0,0
2225,tayloramy,60,36.0,12.0,0.0,12.0,age,Adult,60.0,1
2226,hendricksdanielle,23,18.0,0.0,20.0,58.0,pet,Young Adult,96.0,5
2227,jessicaweber,35,101.0,101.0,0.0,103.0,pet,Adult,305.0,4
2228,brandycraig,27,165.0,0.0,0.0,20.0,sports,Adult,185.0,2
2229,ekidd,53,15.0,15.0,17.0,108.0,pet,Adult,155.0,0
2230,ericksonrebecca,18,63.0,14.0,14.0,26.0,sports,Teenager,117.0,5
2231,princepatrick,23,2.0,1.0,7.0,1.0,age,Young Adult,11.0,1
2232,erica48,18,56.0,55.0,57.0,57.0,food,Teenager,225.0,5
2233,vanessa15,42,22.0,4.0,2.0,3.0,age,Adult,31.0,1
2234,aruiz,22,52.0,53.0,0.0,52.0,fashion,Young Adult,157.0,5
2235,kylelynch,37,24.0,0.0,0.0,210.0,pet,Adult,234.0,0
2236,berryjames,29,0.0,0.0,7.0,8.0,age,Adult,15.0,1
2237,qruiz,23,14.0,0.0,13.0,12.0,age,Young Adult,39.0,1
2238,deanshawn,40,8.0,44.0,7.0,6.0,fashion,Adult,65.0,1
2239,travis77,29,0.0,0.0,60.0,61.0,pet,Adult,121.0,5
2240,lesliegross,30,25.0,121.0,48.0,21.0,fashion,Adult,215.0,4
2241,kevin27,20,33.0,35.0,34.0,35.0,fashion,Young Adult,137.0,5
2242,scottgibson,53,0.0,0.0,62.0,69.0,pet,Adult,131.0,5
2243,chelsea26,29,50.0,50.0,50.0,49.0,sports,Adult,199.0,5
2244,holmesfrank,16,36.0,0.0,36.0,36.0,sports,Teenager,108.0,5
2245,johnsondavid,42,0.0,32.0,32.0,33.0,age,Adult,97.0,5
2246,idickson,15,31.0,78.0,16.0,15.0,fashion,Teenager,140.0,4
2247,chelsealee,18,0.0,0.0,30.0,32.0,pet,Teenager,62.0,1
2248,alexandra74,20,51.0,26.0,0.0,52.0,pet,Young Adult,129.0,5
2249,mhicks,46,0.0,7.0,7.0,21.0,age,Adult,35.0,1
2250,daniel31,33,7.0,6.0,5.0,8.0,age,Adult,26.0,1
2251,gomezjavier,20,0.0,0.0,142.0,17.0,food,Young Adult,159.0,3
2252,walldavid,52,9.0,9.0,64.0,9.0,food,Adult,91.0,1
2253,bensonryan,34,21.0,43.0,21.0,108.0,pet,Adult,193.0,0
2254,cruzgina,22,10.0,72.0,9.0,10.0,fashion,Young Adult,101.0,5
2255,rweaver,17,57.0,0.0,19.0,20.0,sports,Teenager,96.0,1
2256,nicholas79,24,0.0,62.0,31.0,62.0,fashion,Young Adult,155.0,5
2257,kmitchell,22,6.0,6.0,46.0,8.0,food,Young Adult,66.0,1
2258,aliciabarnes,23,2.0,4.0,12.0,6.0,age,Young Adult,24.0,1
2259,debra84,13,49.0,7.0,7.0,7.0,sports,,70.0,1
2260,handerson,19,0.0,57.0,52.0,28.0,fashion,Young Adult,137.0,5
2261,mariahubbard,35,77.0,0.0,77.0,38.0,sports,Adult,192.0,3
2262,wellsjoshua,33,9.0,9.0,10.0,60.0,pet,Adult,88.0,5
2263,sonyaphillips,57,0.0,28.0,12.0,28.0,age,Adult,68.0,1
2264,jorgeskinner,34,13.0,13.0,13.0,91.0,pet,Adult,130.0,0
2265,bowmankristen,61,0.0,0.0,96.0,12.0,food,Senior,108.0,3
2266,jacksonmarie,23,28.0,140.0,28.0,51.0,fashion,Young Adult,247.0,4
2267,fmorris,30,9.0,8.0,9.0,56.0,pet,Adult,82.0,5
2268,stevenhicks,23,3.0,6.0,0.0,1.0,age,Young Adult,10.0,1
2269,ywashington,18,10.0,22.0,11.0,55.0,pet,Teenager,98.0,5
2270,jon06,24,20.0,40.0,104.0,18.0,food,Young Adult,182.0,3
2271,williemcfarland,31,0.0,0.0,16.0,140.0,pet,Adult,156.0,0
2272,qrodriguez,29,78.0,0.0,78.0,35.0,sports,Adult,191.0,3
2273,georgejenkins,29,0.0,0.0,4.0,37.0,pet,Adult,41.0,1
2274,gabriellejohnston,28,18.0,129.0,20.0,20.0,fashion,Adult,187.0,4
2275,acox,65,52.0,52.0,52.0,46.0,age,Senior,202.0,5
2276,jacqueline77,36,9.0,10.0,19.0,52.0,pet,Adult,90.0,5
2277,hickmanheather,18,41.0,41.0,40.0,42.0,pet,Teenager,164.0,5
2278,jmeyer,20,51.0,51.0,50.0,46.0,sports,Young Adult,198.0,5
2279,stephaniegreene,20,0.0,30.0,58.0,58.0,food,Young Adult,146.0,5
2280,daviscandice,42,42.0,44.0,39.0,42.0,fashion,Adult,167.0,5
2281,mosleyryan,24,9.0,2.0,0.0,3.0,age,Young Adult,14.0,1
2282,sancheztimothy,20,10.0,10.0,79.0,10.0,food,Young Adult,109.0,3
2283,daviscarol,16,8.0,9.0,8.0,69.0,pet,Teenager,94.0,5
2284,sonyawilson,14,14.0,15.0,96.0,15.0,food,Teenager,140.0,3
2285,ybrown,31,38.0,6.0,6.0,4.0,sports,Adult,54.0,1
2286,curtisjackson,60,23.0,144.0,24.0,24.0,fashion,Adult,215.0,4
2287,ryan39,38,12.0,12.0,12.0,84.0,pet,Adult,120.0,5
2288,craigsanchez,74,0.0,16.0,16.0,50.0,age,Senior,82.0,5
2289,delgadomichael,29,40.0,38.0,40.0,40.0,sports,Adult,158.0,5
2290,barnesrose,21,12.0,11.0,10.0,10.0,age,Young Adult,43.0,1
2291,josephmurray,69,4.0,3.0,4.0,4.0,age,Senior,15.0,1
2292,pgiles,25,41.0,6.0,7.0,7.0,sports,Young Adult,61.0,1
2293,barbara02,27,0.0,37.0,111.0,36.0,food,Adult,184.0,3
2294,crystalanderson,46,0.0,108.0,36.0,33.0,fashion,Adult,177.0,4
2295,mreynolds,47,0.0,197.0,65.0,64.0,fashion,Adult,326.0,4
2296,perezjasmine,17,15.0,0.0,13.0,15.0,age,Teenager,43.0,1
2297,kathleen16,47,16.0,8.0,8.0,37.0,age,Adult,69.0,1
2298,higginssamantha,42,49.0,48.0,48.0,44.0,sports,Adult,189.0,5
2299,christophererickson,20,0.0,0.0,96.0,10.0,food,Young Adult,106.0,3
2300,caroldoyle,18,36.0,40.0,36.0,40.0,fashion,Teenager,152.0,5
2301,eddiesmith,14,0.0,103.0,0.0,103.0,fashion,Teenager,206.0,4
2302,stephanielong,32,27.0,0.0,88.0,30.0,food,Adult,145.0,3
2303,jayriddle,24,40.0,38.0,39.0,40.0,sports,Young Adult,157.0,5
2304,kristinawilliams,27,33.0,66.0,33.0,147.0,pet,Adult,279.0,0
2305,wilcoxlaura,24,0.0,0.0,6.0,53.0,pet,Young Adult,59.0,1
2306,ricericardo,16,20.0,0.0,20.0,59.0,pet,Teenager,99.0,5
2307,nealamanda,26,8.0,8.0,8.0,8.0,age,Adult,32.0,1
2308,harringtonjeremy,31,7.0,10.0,28.0,7.0,age,Adult,52.0,1
2309,keithdickerson,17,20.0,18.0,18.0,19.0,sports,Teenager,75.0,1
2310,theodore52,56,10.0,0.0,10.0,31.0,age,Adult,51.0,1
2311,jamesbradley,56,0.0,0.0,10.0,92.0,pet,Adult,102.0,0
2312,martinkatherine,16,25.0,9.0,0.0,8.0,sports,Teenager,42.0,1
2313,sonya93,28,0.0,0.0,144.0,19.0,food,Adult,163.0,3
2314,brittanywhitehead,33,22.0,20.0,20.0,22.0,age,Adult,84.0,1
2315,stevewhite,21,12.0,60.0,12.0,24.0,fashion,Young Adult,108.0,5
2316,zortiz,30,26.0,12.0,0.0,27.0,age,Adult,65.0,1
2317,lawrenceemily,29,4.0,32.0,3.0,5.0,fashion,Adult,44.0,1
2318,eric32,36,0.0,0.0,21.0,20.0,age,Adult,41.0,1
2319,jmassey,34,30.0,14.0,15.0,73.0,pet,Adult,132.0,5
2320,martinezsusan,54,37.0,8.0,15.0,7.0,age,Adult,67.0,1
2321,tmejia,25,18.0,84.0,16.0,35.0,fashion,Young Adult,153.0,4
2322,rgreen,14,32.0,32.0,32.0,32.0,sports,Teenager,128.0,5
2323,jon18,24,8.0,46.0,8.0,8.0,fashion,Young Adult,70.0,1
2324,eric11,38,26.0,0.0,28.0,28.0,age,Adult,82.0,1
2325,ohart,40,0.0,6.0,5.0,6.0,age,Adult,17.0,1
2326,johnsonryan,14,24.0,12.0,61.0,10.0,food,Teenager,107.0,5
2327,andrewmartin,19,46.0,0.0,46.0,136.0,pet,Young Adult,228.0,0
2328,cwarner,15,6.0,3.0,0.0,2.0,age,Teenager,11.0,1
2329,zwilliams,49,14.0,93.0,13.0,13.0,fashion,Adult,133.0,4
2330,thansen,16,36.0,34.0,35.0,30.0,sports,Teenager,135.0,5
2331,hshaw,25,0.0,70.0,72.0,68.0,food,Young Adult,210.0,4
2332,david66,27,53.0,0.0,0.0,6.0,sports,Adult,59.0,1
2333,obailey,19,25.0,0.0,27.0,12.0,food,Young Adult,64.0,1
2334,gdavis,24,4.0,3.0,4.0,4.0,age,Young Adult,15.0,1
2335,iwalter,40,0.0,10.0,10.0,10.0,age,Adult,30.0,1
2336,bhumphrey,29,0.0,40.0,40.0,40.0,fashion,Adult,120.0,5
2337,joshuavaldez,26,0.0,11.0,11.0,12.0,age,Adult,34.0,1
2338,ericcole,14,0.0,24.0,49.0,48.0,food,Teenager,121.0,5
2339,holmesbeth,21,52.0,0.0,50.0,50.0,sports,Young Adult,152.0,5
2340,shellymorrow,23,0.0,24.0,0.0,205.0,pet,Young Adult,229.0,0
2341,danielle08,55,72.0,72.0,73.0,74.0,pet,Adult,291.0,4
2342,james54,19,3.0,2.0,1.0,7.0,age,Young Adult,13.0,1
2343,williamsonaaron,31,18.0,17.0,18.0,16.0,age,Adult,69.0,1
2344,morgan75,28,21.0,19.0,19.0,22.0,age,Adult,81.0,1
2345,calvinprice,25,19.0,36.0,19.0,90.0,pet,Young Adult,164.0,5
2346,qmartinez,59,22.0,110.0,44.0,22.0,fashion,Adult,198.0,4
2347,medinascott,17,24.0,22.0,0.0,68.0,pet,Teenager,114.0,5
2348,hayescharles,26,61.0,0.0,0.0,6.0,sports,Adult,67.0,1
2349,wigginsrandy,23,1.0,0.0,0.0,10.0,age,Young Adult,11.0,1
2350,alexander43,40,52.0,0.0,54.0,51.0,food,Adult,157.0,5
2351,kari28,19,48.0,10.0,18.0,10.0,sports,Young Adult,86.0,1
2352,brandonhodges,26,0.0,36.0,0.0,33.0,fashion,Adult,69.0,1
2353,brianbarnes,15,2.0,2.0,0.0,8.0,age,Teenager,12.0,1
2354,derek11,28,0.0,2.0,2.0,9.0,age,Adult,13.0,1
2355,owilliams,30,0.0,0.0,0.0,10.0,age,Adult,10.0,1
2356,kelly42,36,44.0,48.0,44.0,48.0,fashion,Adult,184.0,5
2357,cantrellshannon,29,72.0,0.0,24.0,21.0,sports,Adult,117.0,5
2358,charlesoliver,56,30.0,33.0,0.0,16.0,age,Adult,79.0,1
2359,amberreed,16,6.0,8.0,6.0,6.0,age,Teenager,26.0,1
2360,simoncrystal,39,0.0,136.0,0.0,16.0,fashion,Adult,152.0,4
2361,james92,40,8.0,8.0,8.0,8.0,age,Adult,32.0,1
2362,sayala,42,30.0,34.0,34.0,34.0,age,Adult,132.0,5
2363,chavezgabriella,38,9.0,9.0,8.0,8.0,age,Adult,34.0,1
2364,johnsonangela,30,59.0,60.0,0.0,60.0,fashion,Adult,179.0,5
2365,tgarcia,19,21.0,24.0,24.0,24.0,fashion,Young Adult,93.0,5
2366,allen83,25,10.0,45.0,10.0,20.0,fashion,Young Adult,85.0,5
2367,marthacastillo,30,0.0,80.0,0.0,82.0,pet,Adult,162.0,4
2368,angelaherrera,44,0.0,6.0,6.0,4.0,age,Adult,16.0,1
2369,fieldsamy,14,54.0,51.0,0.0,52.0,sports,Teenager,157.0,5
2370,munozjoanna,18,16.0,31.0,15.0,80.0,pet,Teenager,142.0,5
2371,smithkimberly,46,0.0,6.0,0.0,8.0,age,Adult,14.0,1
2372,mwhite,30,12.0,84.0,11.0,11.0,fashion,Adult,118.0,4
2373,hernandezcharlene,40,0.0,6.0,0.0,5.0,age,Adult,11.0,1
2374,nsanchez,19,60.0,0.0,0.0,7.0,sports,Young Adult,67.0,1
2375,brianaweber,25,20.0,54.0,0.0,21.0,fashion,Young Adult,95.0,5
2376,beverlyvelazquez,38,8.0,8.0,35.0,16.0,age,Adult,67.0,1
2377,qpruitt,19,2.0,6.0,2.0,0.0,age,Young Adult,10.0,1
2378,abigailshelton,25,15.0,31.0,0.0,32.0,pet,Young Adult,78.0,5
2379,castillosamuel,21,14.0,72.0,29.0,16.0,fashion,Young Adult,131.0,5
2380,cruzvalerie,47,0.0,16.0,16.0,17.0,age,Adult,49.0,1
2381,abigailoliver,14,24.0,0.0,26.0,26.0,food,Teenager,76.0,1
2382,zachary82,44,10.0,70.0,10.0,10.0,fashion,Adult,100.0,5
2383,qjohnston,55,4.0,4.0,3.0,33.0,age,Adult,44.0,1
2384,jonesanna,60,125.0,26.0,55.0,26.0,sports,Adult,232.0,2
2385,carolyn85,22,18.0,20.0,18.0,20.0,age,Young Adult,76.0,1
2386,cunninghambrittany,16,49.0,9.0,8.0,19.0,sports,Teenager,85.0,1
2387,josejohnson,28,30.0,4.0,4.0,4.0,sports,Adult,42.0,1
2388,shawnhammond,68,0.0,76.0,0.0,78.0,pet,Senior,154.0,5
2389,spencerdavid,17,0.0,0.0,30.0,4.0,food,Teenager,34.0,1
2390,anthonysimmons,23,9.0,9.0,39.0,17.0,food,Young Adult,74.0,1
2391,lee60,15,11.0,54.0,11.0,20.0,fashion,Teenager,96.0,5
2392,hooperscott,19,45.0,0.0,134.0,44.0,food,Young Adult,223.0,3
2393,qdavila,64,5.0,3.0,16.0,3.0,age,Senior,27.0,1
2394,robertjones,18,0.0,83.0,0.0,8.0,fashion,Teenager,91.0,4
2395,kevin83,35,9.0,8.0,8.0,56.0,pet,Adult,81.0,5
2396,joseph72,40,6.0,7.0,0.0,8.0,age,Adult,21.0,1
2397,carol42,18,22.0,10.0,11.0,59.0,pet,Teenager,102.0,5
2398,mistychavez,35,164.0,0.0,0.0,19.0,sports,Adult,183.0,2
2399,julia07,38,6.0,11.0,30.0,6.0,age,Adult,53.0,1
2400,kwalsh,19,33.0,36.0,36.0,36.0,fashion,Young Adult,141.0,5
2401,cruzjesse,27,14.0,12.0,13.0,12.0,age,Adult,51.0,1
2402,barrymartin,32,0.0,3.0,0.0,9.0,age,Adult,12.0,1
2403,donna35,43,21.0,18.0,144.0,21.0,food,Adult,204.0,3
2404,ajones,34,6.0,6.0,49.0,6.0,food,Adult,67.0,1
2405,deannaholmes,23,45.0,44.0,0.0,39.0,sports,Young Adult,128.0,5
2406,ocarter,29,0.0,3.0,9.0,8.0,age,Adult,20.0,1
2407,tiffanysmith,34,124.0,0.0,114.0,109.0,sports,Adult,347.0,0
2408,michelle00,16,20.0,9.0,52.0,10.0,food,Teenager,91.0,1
2409,laura07,48,16.0,18.0,18.0,18.0,age,Adult,70.0,1
2410,jeffrey47,15,28.0,28.0,28.0,28.0,sports,Teenager,112.0,5
2411,stephanie29,21,17.0,17.0,32.0,82.0,pet,Young Adult,148.0,0
2412,elizabeth01,16,0.0,68.0,66.0,67.0,fashion,Teenager,201.0,5
2413,pamela73,24,32.0,32.0,29.0,29.0,sports,Young Adult,122.0,5
2414,juanwright,53,19.0,0.0,18.0,20.0,age,Adult,57.0,1
2415,dodsonkeith,34,13.0,0.0,16.0,43.0,pet,Adult,72.0,1
2416,zachary69,17,30.0,15.0,0.0,33.0,pet,Teenager,78.0,1
2417,wmurray,23,28.0,28.0,26.0,29.0,pet,Young Adult,111.0,5
2418,riosmikayla,18,0.0,0.0,116.0,12.0,food,Teenager,128.0,3
2419,bmueller,43,2.0,2.0,4.0,2.0,age,Adult,10.0,1
2420,dpage,25,9.0,9.0,10.0,9.0,age,Young Adult,37.0,1
2421,sarahrodriguez,40,8.0,6.0,7.0,48.0,pet,Adult,69.0,1
2422,kelly84,22,18.0,16.0,17.0,15.0,age,Young Adult,66.0,1
2423,evansjack,43,26.0,21.0,0.0,25.0,age,Adult,72.0,1
2424,lauralamb,19,5.0,18.0,3.0,8.0,age,Young Adult,34.0,1
2425,santanachristian,29,38.0,0.0,38.0,40.0,pet,Adult,116.0,5
2426,jonathan87,79,9.0,9.0,37.0,16.0,age,Senior,71.0,1
2427,william62,20,0.0,8.0,8.0,8.0,age,Young Adult,24.0,1
2428,brittany71,17,66.0,66.0,64.0,65.0,sports,Teenager,261.0,4
2429,fbarrera,34,28.0,0.0,79.0,25.0,food,Adult,132.0,3
2430,bradforddylan,43,3.0,1.0,12.0,1.0,age,Adult,17.0,1
2431,robertball,44,32.0,0.0,32.0,16.0,age,Adult,80.0,1
2432,shannon02,18,30.0,27.0,30.0,30.0,sports,Teenager,117.0,5
2433,bradley16,35,0.0,12.0,25.0,25.0,age,Adult,62.0,1
2434,romerobrian,18,14.0,2.0,3.0,6.0,age,Teenager,25.0,1
2435,gsimmons,33,136.0,0.0,0.0,152.0,pet,Adult,288.0,0
2436,fcruz,20,0.0,104.0,103.0,103.0,fashion,Young Adult,310.0,4
2437,zwhitaker,57,0.0,0.0,61.0,61.0,food,Adult,122.0,5
2438,francisheath,20,6.0,8.0,7.0,45.0,pet,Young Adult,66.0,1
2439,kathleen22,46,39.0,6.0,7.0,7.0,age,Adult,59.0,1
2440,jenniferdickerson,22,84.0,0.0,0.0,85.0,pet,Young Adult,169.0,0
2441,mary06,34,15.0,6.0,7.0,36.0,pet,Adult,64.0,1
2442,tyler38,22,92.0,13.0,15.0,14.0,sports,Young Adult,134.0,2
2443,victoriarogers,39,0.0,45.0,0.0,4.0,fashion,Adult,49.0,1
2444,iadams,38,8.0,0.0,8.0,7.0,age,Adult,23.0,1
2445,paula14,28,0.0,13.0,0.0,118.0,pet,Adult,131.0,0
2446,jasonhudson,14,10.0,20.0,8.0,48.0,pet,Teenager,86.0,5
2447,mark81,33,75.0,0.0,75.0,77.0,pet,Adult,227.0,0
2448,ericgarza,39,0.0,0.0,51.0,56.0,pet,Adult,107.0,5
2449,melissa37,23,0.0,28.0,9.0,9.0,fashion,Young Adult,46.0,1
2450,mccormickrachel,28,36.0,34.0,36.0,34.0,sports,Adult,140.0,5
2451,aaron30,29,0.0,12.0,0.0,11.0,age,Adult,23.0,1
2452,bowenjamie,21,78.0,0.0,0.0,10.0,sports,Young Adult,88.0,1
2453,wilkinsmelissa,28,27.0,0.0,54.0,54.0,food,Adult,135.0,5
2454,wrighttammy,31,5.0,7.0,27.0,12.0,age,Adult,51.0,1
2455,kelly87,43,11.0,6.0,30.0,6.0,age,Adult,53.0,1
2456,rebecca97,18,7.0,7.0,39.0,6.0,food,Teenager,59.0,1
2457,srobinson,26,36.0,36.0,35.0,36.0,sports,Adult,143.0,5
2458,mcgrathjeffrey,19,12.0,12.0,12.0,11.0,age,Young Adult,47.0,1
2459,patrick85,30,17.0,0.0,15.0,49.0,pet,Adult,81.0,5
2460,shanewilliams,39,0.0,75.0,0.0,8.0,fashion,Adult,83.0,5
2461,cindyfoster,41,5.0,21.0,9.0,4.0,age,Adult,39.0,1
2462,william51,48,11.0,0.0,0.0,0.0,age,Adult,11.0,1
2463,mary90,36,35.0,5.0,6.0,4.0,age,Adult,50.0,1
2464,wileymelissa,26,2.0,0.0,0.0,24.0,age,Adult,26.0,1
2465,iowen,30,0.0,59.0,59.0,155.0,pet,Adult,273.0,0
2466,xmckinney,38,59.0,59.0,60.0,58.0,food,Adult,236.0,5
2467,garciavirginia,29,12.0,12.0,0.0,36.0,pet,Adult,60.0,1
2468,ericabruce,54,8.0,8.0,8.0,8.0,age,Adult,32.0,1
2469,christophervasquez,22,20.0,4.0,3.0,9.0,age,Young Adult,36.0,1
2470,knoxjames,16,36.0,35.0,0.0,34.0,sports,Teenager,105.0,5
2471,michaelbarrett,24,9.0,12.0,71.0,9.0,food,Young Adult,101.0,3
2472,shawn44,14,4.0,28.0,5.0,3.0,fashion,Teenager,40.0,1
2473,jason72,26,37.0,35.0,0.0,34.0,sports,Adult,106.0,5
2474,ashley67,16,0.0,17.0,49.0,17.0,food,Teenager,83.0,1
2475,michellebarnett,42,0.0,3.0,7.0,7.0,age,Adult,17.0,1
2476,chris17,38,61.0,0.0,60.0,60.0,sports,Adult,181.0,5
2477,heather06,28,48.0,118.0,21.0,22.0,fashion,Adult,209.0,4
2478,vmiller,37,8.0,8.0,8.0,9.0,age,Adult,33.0,1
2479,kmoore,29,20.0,0.0,21.0,20.0,age,Adult,61.0,1
2480,aimeewilson,42,35.0,36.0,36.0,36.0,age,Adult,143.0,5
2481,ydiaz,47,8.0,0.0,21.0,8.0,age,Adult,37.0,1
2482,edward78,20,60.0,0.0,60.0,178.0,pet,Young Adult,298.0,0
2483,thomasjohnson,29,8.0,2.0,0.0,1.0,age,Adult,11.0,1
2484,xstark,42,0.0,86.0,30.0,30.0,fashion,Adult,146.0,4
2485,brandonmejia,38,21.0,21.0,0.0,22.0,age,Adult,64.0,1
2486,amy41,39,8.0,9.0,9.0,8.0,age,Adult,34.0,1
2487,jeremy49,37,16.0,2.0,2.0,2.0,age,Adult,22.0,1
2488,elizabeth88,24,14.0,13.0,12.0,12.0,age,Young Adult,51.0,1
2489,alvarezaaron,13,52.0,48.0,52.0,54.0,pet,,206.0,5
2490,wigginsjacob,51,20.0,2.0,2.0,3.0,age,Adult,27.0,1
2491,nicole99,48,9.0,3.0,5.0,22.0,age,Adult,39.0,1
2492,bankspeter,32,28.0,15.0,15.0,72.0,pet,Adult,130.0,5
2493,clifford78,41,36.0,18.0,0.0,35.0,age,Adult,89.0,5
2494,lerickson,81,16.0,0.0,17.0,48.0,age,Senior,81.0,1
2495,patricia87,24,10.0,10.0,0.0,10.0,age,Young Adult,30.0,1
2496,ihernandez,28,99.0,20.0,40.0,18.0,sports,Adult,177.0,2
2497,christianscott,43,6.0,1.0,4.0,0.0,age,Adult,11.0,1
2498,bdunn,56,3.0,4.0,0.0,3.0,age,Adult,10.0,1
2499,rhondawatkins,24,14.0,7.0,35.0,7.0,food,Young Adult,63.0,1
2500,pruittgeorge,14,0.0,0.0,42.0,41.0,food,Teenager,83.0,1
2501,starkemily,24,73.0,73.0,0.0,76.0,pet,Young Adult,222.0,0
2502,johnfisher,46,0.0,13.0,0.0,134.0,pet,Adult,147.0,0
2503,russellmiller,23,12.0,0.0,4.0,6.0,age,Young Adult,22.0,1
2504,susansmith,23,28.0,28.0,28.0,26.0,sports,Young Adult,110.0,5
2505,patricia44,24,0.0,15.0,0.0,0.0,age,Young Adult,15.0,1
2506,bschmidt,20,18.0,0.0,19.0,57.0,pet,Young Adult,94.0,5
2507,yhardy,46,13.0,12.0,13.0,14.0,age,Adult,52.0,1
2508,douglas19,30,9.0,8.0,16.0,40.0,pet,Adult,73.0,1
2509,sarahjohnson,36,12.0,10.0,12.0,12.0,age,Adult,46.0,1
2510,simmonswilliam,32,7.0,8.0,7.0,8.0,age,Adult,30.0,1
2511,nataliewilliams,33,0.0,21.0,20.0,64.0,pet,Adult,105.0,5
2512,samuelcole,66,6.0,0.0,4.0,6.0,age,Senior,16.0,1
2513,lauren29,49,20.0,20.0,20.0,20.0,age,Adult,80.0,1
2514,floydrobert,18,0.0,26.0,0.0,28.0,pet,Teenager,54.0,1
2515,christywolf,16,52.0,0.0,52.0,26.0,sports,Teenager,130.0,5
2516,christopherwatson,31,56.0,0.0,0.0,6.0,sports,Adult,62.0,1
2517,nicoleboone,25,0.0,35.0,34.0,33.0,fashion,Young Adult,102.0,5
2518,wileystacy,27,0.0,40.0,42.0,36.0,food,Adult,118.0,5
2519,derrick99,51,12.0,0.0,12.0,11.0,age,Adult,35.0,1
2520,wesley69,49,0.0,63.0,70.0,36.0,food,Adult,169.0,5
2521,avilaelizabeth,26,0.0,24.0,0.0,2.0,age,Adult,26.0,1
2522,ywatkins,41,0.0,8.0,3.0,8.0,age,Adult,19.0,1
2523,pwilliams,15,21.0,21.0,0.0,63.0,pet,Teenager,105.0,5
2524,shanefischer,17,2.0,12.0,2.0,5.0,age,Teenager,21.0,1
2525,dustinbarker,39,50.0,49.0,49.0,49.0,sports,Adult,197.0,5
2526,pdavis,21,0.0,39.0,35.0,39.0,fashion,Young Adult,113.0,5
2527,james06,36,9.0,63.0,9.0,9.0,fashion,Adult,90.0,5
